실거래가,감정가,낙찰가,감정가_log,건물면적_log,실거래가_log,최저가율,낙찰가율,실거래가율,저평가율,낙찰률,유찰횟수_adj,월실거래건수,실거래상대지수_local,실거래상대지수_global,건물나이,층_high,층_low,층_mid,면적_대형,면적_소형,면적_중형,면적_초대형,구클_0,구클_1,구클_2,구클_3,구클_4
155000,151000,67300,11.92504174,4.106767082,11.95118685,40.96,44.56953642,102.6490066,56.58064516,44.56953642,4,155,66.3,54.4,5,0,0,1,0,0,1,0,0,1,0,0,0
114000,119000,135432.1012,11.68688718,4.452177502,11.6439625,80,113.8084884,95.79831933,-18.80008877,113.8084884,1,404,202.4,141.8,9,1,0,0,1,0,0,0,0,0,0,1,0
71500,74000,65199,11.21183389,4.45225208,11.17746671,80,88.10675676,96.62162162,8.812587413,88.10675676,1,265,214.3,93,29,0,0,1,1,0,0,0,1,0,0,0,0
50700,53800,45214.042,10.89304733,4.451785879,10.83370091,80,84.04097026,94.23791822,10.82042998,84.04097026,1,65,118.4,22.8,23,0,1,0,1,0,0,0,1,0,0,0,0
27500,27600,20484.8,10.22560728,4.059925635,10.22197765,64,74.22028986,99.63768116,25.50981818,74.22028986,2,308,154.5,108.1,26,0,0,1,0,1,0,0,0,0,0,1,0
315032,288000,295000.01,12.57071923,4.947269418,12.66043267,100,102.430559,109.3861111,6.35871594,102.430559,0,308,154.5,108.1,38,0,1,0,0,0,0,1,0,0,0,1,0
36000,39200,38177,10.57645754,3.703275334,10.49130199,80,97.39030612,91.83673469,-6.047222222,97.39030612,1,471,205.7,165.3,31,0,1,0,0,1,0,0,0,0,0,1,0
117000,103000,86881,11.54249398,4.905052532,11.66993776,80,84.35048544,113.592233,25.74273504,84.35048544,1,171,146.6,60,24,1,0,0,1,0,0,0,1,0,0,0,0
29500,33400,28000,10.41634112,4.100989105,10.29217944,80,83.83233533,88.32335329,5.084745763,83.83233533,1,162,143.4,56.9,36,0,1,0,0,0,1,0,1,0,0,0,0
64000,49000,49005,10.79959599,4.45423101,11.06665399,100,100.0102041,130.6122449,23.4296875,100.0102041,0,171,146.6,60,27,0,1,0,1,0,0,0,1,0,0,0,0
93400,95100,94092.1,11.46269476,4.450152464,11.44465733,80,98.94016824,98.21240799,-0.741006424,98.94016824,1,460,197.6,161.5,20,0,0,1,1,0,0,0,0,0,0,1,0
109500,115000,102480,11.6526961,4.330155542,11.60368896,80,89.11304348,95.2173913,6.410958904,89.11304348,1,477,166.3,167.4,5,1,0,0,0,0,1,0,0,0,0,1,0
97000,98000,78765,11.49273296,4.751259892,11.48247657,80,80.37244898,98.97959184,18.79896907,80.37244898,1,460,197.6,161.5,20,0,1,0,1,0,0,0,0,0,0,1,0
93000,93700,82790.0001,11.44786414,4.751259892,11.44036552,80,88.35645688,99.2529349,10.97849452,88.35645688,1,162,143.4,56.9,23,0,0,1,1,0,0,0,1,0,0,0,0
65000,62000,56440,11.03490579,4.108477553,11.08215793,80,91.03225806,104.8387097,13.16923077,91.03225806,1,477,166.3,167.4,20,0,0,1,0,0,1,0,0,0,0,1,0
57000,40300,33652.4,10.60413156,3.744787086,10.95082409,80,83.50471464,141.439206,40.96070175,83.50471464,1,171,146.6,60,34,0,1,0,0,1,0,0,1,0,0,0,0
71250,74400,61800,11.21722466,4.45213555,11.17396413,80,83.06451613,95.76612903,13.26315789,83.06451613,1,162,143.4,56.9,31,0,1,0,1,0,0,0,1,0,0,0,0
52000,55000,48899.9999,10.91510665,4.454114711,10.85901823,80,88.90909073,94.54545455,5.961538654,88.90909073,1,279,150.6,97.9,26,1,0,0,1,0,0,0,0,0,0,1,0
97800,107400,76254,11.58432477,4.897541248,11.49069008,64,71,91.06145251,22.03067485,71,2,460,197.6,161.5,27,0,0,1,1,0,0,0,0,0,0,1,0
29500,39900,30700,10.59415667,3.709906821,10.29217944,64,76.94235589,73.93483709,-4.06779661,76.94235589,2,171,146.6,60,29,0,0,1,0,1,0,0,1,0,0,0,0
97800,110000,87499.999,11.60824474,4.897541248,11.49069008,64,79.54545364,88.90909091,10.53169836,79.54545364,2,460,197.6,161.5,27,0,0,1,1,0,0,0,0,0,0,1,0
121800,125000,125605,11.73607702,4.634243433,11.71014384,100,100.484,97.44,-3.123973727,100.484,0,247,81.2,86.7,28,0,0,1,1,0,0,0,0,1,0,0,0
83000,80600,81033.33,11.29726634,4.452019006,11.32660793,100,100.5376303,102.9776675,2.369481928,100.5376303,0,499,212,175.2,25,1,0,0,1,0,0,0,0,1,0,0,0
128000,115000,122200,11.6526961,4.110545942,11.75979336,100,106.2608696,111.3043478,4.53125,106.2608696,0,234,219.9,82.1,7,0,1,0,0,0,1,0,0,0,1,0,0
147500,143600,162111,11.8747939,4.447580265,11.90159023,100,112.8906685,102.7158774,-9.905762712,112.8906685,0,499,212,175.2,24,0,0,1,1,0,0,0,0,1,0,0,0
82500,78900,85300,11.27594918,4.11038194,11.32056569,100,108.1115336,104.5627376,-3.393939394,108.1115336,0,499,212,175.2,29,0,1,0,0,0,1,0,0,1,0,0,0
334000,371000,335000.03,12.82396004,5.176341805,12.71889927,80,90.29650404,90.02695418,-0.29941018,90.29650404,1,247,81.2,86.7,20,1,0,0,0,0,0,1,0,1,0,0,0
148000,123000,153190,11.71994776,4.108904714,11.90497431,100,124.5447154,120.3252033,-3.506756757,124.5447154,0,499,212,175.2,10,0,1,0,0,0,1,0,0,1,0,0,0
71000,71100,67500,11.17185668,4.108576144,11.17044924,80,94.93670886,99.85935302,4.929577465,94.93670886,1,404,202.4,141.8,9,0,1,0,0,0,1,0,0,0,0,1,0
52000,49200,49500,10.80366923,4.110709916,10.85901823,80,100.6097561,105.6910569,4.807692308,100.6097561,0,279,150.6,97.9,38,0,0,1,0,0,1,0,0,0,0,1,0
58500,61900,53700,11.03329161,4.348469851,10.97679913,80,86.75282714,94.50726979,8.205128205,86.75282714,1,471,205.7,165.3,22,0,1,0,0,0,1,0,0,0,0,1,0
64000,61300,53785.0001,11.02355144,4.449217884,11.06665399,80,87.74062007,104.4045677,15.96093734,87.74062007,1,279,150.6,97.9,31,0,1,0,1,0,0,0,0,0,0,1,0
261500,242000,251234,12.39669714,5.107459479,12.47419339,80,103.8157025,108.0578512,3.92581262,103.8157025,1,88,50.6,30.9,22,0,1,0,0,0,0,1,0,0,1,0,0
10900,10500,8400,9.25922577,2.962692419,9.296609807,80,80,103.8095238,22.93577982,80,1,414,202,145.3,10,0,0,1,0,1,0,0,0,0,0,1,0
78000,79000,81522.3,11.27721579,4.110185102,11.26447693,100,103.1927848,98.73417722,-4.515769231,103.1927848,0,414,202,145.3,22,1,0,0,0,0,1,0,0,0,0,1,0
172000,168000,184850,12.03172521,4.45225208,12.05525557,100,110.0297619,102.3809524,-7.470930233,110.0297619,0,446,227,156.6,11,0,1,0,1,0,0,0,0,1,0,0,0
